column,abs
app_id,0.5519618547200139
site_category,0.3854761962907861
app_category,0.34289277352451764
site_id,0.3258010635028263
site_domain,0.23227335857872994
C14,0.19659056755498552
C16,0.1864555835667625
C18,0.1456901478295351
device_model,0.14130053917428392
C1,0.11414522700172736
banner_pos,0.08999254873153206
device_conn_type,0.08138597520008442
app_domain,0.07730654597269758
C17,0.06367030624490536
device_ip,0.04322689625241757
C20,0.03715517508530069
hour_of_day,0.03125678861499501
device_id,0.028417058450829164
device_type,0.023341869912263346
is_weekend,0.01920664282911687
day_of_week,0.014591151603280875
C15,0.014038059786277219
C21,0.006938556889022311
C19,0.003360016091499867
